video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=OpIOSWJvSD4&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@PulseRundown,Pulse Rundown,"PredPol, Bias, and the Black Box: How AI Policing Fails the Test",46,1 month,"Predictive policing algorithms promise efficiency but reinforce systemic racial bias by relying on skewed historical data, creating ...",2026-01-22 05:33:28.601504
/watch?v=Z9XLHGrZA4g&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt0gcJCYcKAYcqIYzv,/@PMbeers,PMbeers,#LAPD's Racism: Crime Statistics and Predictive Policing Targeting People of Color,138,7 years,"This video was filmed at the LAPD Police Commission Meeting on Tuesday, January 23, 2018. PMbeers live streams protest and ...",2026-01-22 05:33:28.603407
/watch?v=2B2G9zkZR6k&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt0gcJCYcKAYcqIYzv,/@HaymarketBooks,Haymarket Books,"Race, Class, and Policing: The Racial Economics of Mass Incarceration",2.2K,Streamed 4 years,"A Spectre conversation with Charles Post, Peter Ikeler, and Calvin John Smiley on systemic racism and the policing of US ...",2026-01-22 05:33:28.605364
/watch?v=w6BbWQbRXsY&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@uncaramseylibraryvideoprod3348,UNCA Ramsey Library Video Production,Mass Incarceration and Racial Inequalities in Policing: Solutions from a Police Chief,635,7 years,Featuring Chris Burbank Director of Law Enforcement for the Center for Policing Equality and Former Police Chief of Salt Lake ...,2026-01-22 05:33:28.607257
/watch?v=8ayayWVEcyQ&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@NACDLvideo,NACDLvideo,Disrupting Minority Report: How to Push Back on the Use of Predictive Analytics in Policing,232,4 years,"To learn more about NACDL's State Criminal Justice Network and Conference, please visit https://www.nacdl.org/SCJN Police ...",2026-01-22 05:33:28.609285
/watch?v=Gq4LFeqkXOA&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@stoplapdspying,Stop LAPD Spying Coalition,Pt 9: Police State & the Surveillance of Blackness in Time of Covid,240,5 years,"The National Security Police State always uses crisis like this to expand oppression, to expand surveillance, accumulate new ...",2026-01-22 05:33:28.611399
/watch?v=wwg7_X3mm8M&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt0gcJCYcKAYcqIYzv,/@ColinBoydSEO,Colin Boyd SEO,AI Now: Predictive policing systems are racist because corrupt cops produce dirty data,39,5 years,Reported today on TheNextWeb For the full article visit: ...,2026-01-22 05:33:28.612578
/watch?v=x-8wpszTetQ&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@PMbeers,PMbeers,Predictive Policing is Racist and #LAPD's Public Opinion Survey is a Waste of Money,33,8 years,This was recorded last Tuesday morning at the LAPD Los Angeles Police Commission meeting. PMbeers live streams protest and ...,2026-01-22 05:33:28.613833
/watch?v=sUSpL42OTEc&t=978s&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@JacobinMag,Jacobin,"Celebrating Juneteenth w/ Bill Fletcher, Critical Race Theory, & Racist Techno-Policing | Weekends",8.2K,Streamed 4 years,... Leaked 16:18 Racist Predictive Policing 48:33 Against Naturalizing Race 1:15:57 Bill Fletcher Jr on Juneteenth and Right-Wing ...,2026-01-22 05:33:28.615518
/watch?v=eVBFz-UZWyg&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@NewYorkTimesEvents,New York Times Events,The Future of Policing,121,7 years,"From facial recognition software to DNA testing, local and federal law enforcement have embraced high-tech tools to prosecute ...",2026-01-22 05:33:28.616738
